year;month;plot;treatment;depth.min;depth.max;root.bm;coarse_root.bm;fine_root.bm
2021;6;B3A08;D3;0.2;0.3;18.986;0;18.986
2021;6;B3A08;D3;0.3;0.4;18.709;0;18.709
2021;6;B3A09;D3;0.05;0.1;253.505;0;253.505
2021;6;B3A09;D3;0.1;0.2;178.219;0;178.219
2021;6;B3A09;D3;0.2;0.3;96.35;0;96.35
2021;6;B3A09;D3;0.3;0.4;87.689;0;87.689
2021;6;B3A11;D3;0.05;0.1;617.53;49.578;567.951
2021;6;B3A11;D3;0.1;0.2;418.489;0;418.489
2021;6;B3A11;D3;0.2;0.3;305.058;0;305.058
2021;6;B3A11;D3;0.3;0.4;107.229;0;107.229
2021;6;B3A12;D3;0.05;0.1;4.573;0;4.573
2021;6;B3A12;D3;0.1;0.2;6.444;0;6.444
2021;6;B3A12;D3;0.2;0.3;2.702;0;2.702
2021;6;B3A12;D3;0.3;0.4;11.988;0;11.988
2021;6;B3A13;D3;0.05;0.1;458.886;0;458.886
2021;6;B3A13;D3;0.1;0.2;259.741;0;259.741
2021;6;B3A13;D3;0.2;0.3;236.701;0;236.701
2021;6;B3A13;D3;0.3;0.4;232.682;0;232.682
2021;6;B3A14;D3;0.05;0.1;21.03;0;21.03
2021;6;B3A14;D3;0.1;0.2;156.288;0;156.288
